"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7069","Valid login","webkit","2026-03-23","passed","2026-03-23","Login Scenarios","saucedemo.e2e.spec.js","",""
"","3531","Locked out user","webkit","2026-03-23","passed","2026-03-23","Login Scenarios","saucedemo.e2e.spec.js","",""
"","6911","Cannot checkout with empty cart","firefox","2026-03-23","passed","2026-03-23","Edge Cases and Validations","saucedemo.e2e.spec.js","",""
"","4709","Add a product to cart","firefox","2026-03-23","passed","2026-03-23","Product and Cart Scenarios","saucedemo.e2e.spec.js","",""
"","1930","Invalid login","chromium","2026-03-24","passed","2026-03-24","Login Scenarios","saucedemo.e2e.spec.js","",""
"","2504","Checkout with valid info","chromium","2026-03-24","passed","2026-03-24","Checkout Scenarios","saucedemo.e2e.spec.js","",""
"","2461","Checkout with missing info","chromium","2026-03-24","passed","2026-03-24","Checkout Scenarios","saucedemo.e2e.spec.js","",""
"","2127","Add multiple products to cart","chromium","2026-03-24","passed","2026-03-24","Product and Cart Scenarios","saucedemo.e2e.spec.js","",""
"","1847","Locked out user","chromium","2026-03-24","passed","2026-03-24","Login Scenarios","saucedemo.e2e.spec.js","",""
"","1956","Problem user login","chromium","2026-03-24","passed","2026-03-24","Login Scenarios","saucedemo.e2e.spec.js","",""
"","14171","Complete purchase and logout (E2E)","webkit","2026-03-23","passed","2026-03-23","End-to-End User Journey","saucedemo.e2e.spec.js","",""
"","7382","Add a product to cart","webkit","2026-03-23","passed","2026-03-23","Product and Cart Scenarios","saucedemo.e2e.spec.js","",""
"","4641","Checkout with missing info","firefox","2026-03-23","passed","2026-03-23","Checkout Scenarios","saucedemo.e2e.spec.js","",""
"","6167","Remove product from cart","webkit","2026-03-23","passed","2026-03-23","Product and Cart Scenarios","saucedemo.e2e.spec.js","",""
"","3182","Checkout with valid info","firefox","2026-03-23","passed","2026-03-23","Checkout Scenarios","saucedemo.e2e.spec.js","",""
"","4659","Invalid login","webkit","2026-03-23","passed","2026-03-23","Login Scenarios","saucedemo.e2e.spec.js","",""
"","30795","Logout redirects to login","firefox","2026-03-23","broken","2026-03-23","Edge Cases and Validations","saucedemo.e2e.spec.js","",""
"","3071","Cart icon shows correct count","firefox","2026-03-23","passed","2026-03-23","Product and Cart Scenarios","saucedemo.e2e.spec.js","",""
"","8562","Invalid login","firefox","2026-03-23","passed","2026-03-23","Login Scenarios","saucedemo.e2e.spec.js","",""
"","8900","Performance glitch user login","webkit","2026-03-23","passed","2026-03-23","Login Scenarios","saucedemo.e2e.spec.js","",""
"","3285","Remove product from cart","firefox","2026-03-23","passed","2026-03-23","Product and Cart Scenarios","saucedemo.e2e.spec.js","",""
"","2589","Session persists after reload","chromium","2026-03-24","passed","2026-03-24","Edge Cases and Validations","saucedemo.e2e.spec.js","",""
"","1870","Valid login","chromium","2026-03-24","passed","2026-03-24","Login Scenarios","saucedemo.e2e.spec.js","",""
"","3554","Problem user login","firefox","2026-03-23","passed","2026-03-23","Login Scenarios","saucedemo.e2e.spec.js","",""
"","3099","Logout redirects to login","chromium","2026-03-24","passed","2026-03-24","Edge Cases and Validations","saucedemo.e2e.spec.js","",""
"","2507","Add multiple products to cart","firefox","2026-03-23","passed","2026-03-23","Product and Cart Scenarios","saucedemo.e2e.spec.js","",""
"","2398","Cart icon shows correct count","chromium","2026-03-24","passed","2026-03-24","Product and Cart Scenarios","saucedemo.e2e.spec.js","",""
"","2072","Remove product from cart","chromium","2026-03-24","passed","2026-03-24","Product and Cart Scenarios","saucedemo.e2e.spec.js","",""
"","3355","Locked out user","firefox","2026-03-23","passed","2026-03-23","Login Scenarios","saucedemo.e2e.spec.js","",""
"","5782","Product price matches on checkout page","firefox","2026-03-23","failed","2026-03-23","Product and Cart Scenarios","saucedemo.e2e.spec.js","",""
"","2283","Open link in new tab, validate, close, switch, and use browser navigation","chromium","2026-03-24","passed","2026-03-24","Tab and Navigation Scenarios","saucedemo.e2e.spec.js","",""
"","4283","Session persists after reload","firefox","2026-03-23","passed","2026-03-23","Edge Cases and Validations","saucedemo.e2e.spec.js","",""
"","2031","Add a product to cart","chromium","2026-03-24","passed","2026-03-24","Product and Cart Scenarios","saucedemo.e2e.spec.js","",""
"","4518","Cart icon shows correct count","webkit","2026-03-23","passed","2026-03-23","Product and Cart Scenarios","saucedemo.e2e.spec.js","",""
"","8103","Complete purchase and logout (E2E)","firefox","2026-03-23","passed","2026-03-23","End-to-End User Journey","saucedemo.e2e.spec.js","",""
"","4956","Session persists after reload","webkit","2026-03-23","passed","2026-03-23","Edge Cases and Validations","saucedemo.e2e.spec.js","",""
"","4620","Valid login","firefox","2026-03-23","passed","2026-03-23","Login Scenarios","saucedemo.e2e.spec.js","",""
"","7156","Performance glitch user login","chromium","2026-03-24","passed","2026-03-24","Login Scenarios","saucedemo.e2e.spec.js","",""
"","4098","Problem user login","webkit","2026-03-23","passed","2026-03-23","Login Scenarios","saucedemo.e2e.spec.js","",""
"","2615","Complete purchase and logout (E2E)","chromium","2026-03-24","passed","2026-03-24","End-to-End User Journey","saucedemo.e2e.spec.js","",""
"","9997","Product price matches on checkout page","webkit","2026-03-23","failed","2026-03-23","Product and Cart Scenarios","saucedemo.e2e.spec.js","",""
"","4929","Add multiple products to cart","webkit","2026-03-23","passed","2026-03-23","Product and Cart Scenarios","saucedemo.e2e.spec.js","",""
"","5462","Cannot checkout with empty cart","webkit","2026-03-23","passed","2026-03-23","Edge Cases and Validations","saucedemo.e2e.spec.js","",""
"","8017","Checkout with missing info","webkit","2026-03-23","passed","2026-03-23","Checkout Scenarios","saucedemo.e2e.spec.js","",""
"","10326","Add items, validate quantity, checkout with empty info and validate error","chromium","2026-03-24","passed","2026-03-24","Cart and Checkout Validations","saucedemo.e2e.spec.js","",""
"","3365","Cannot checkout with empty cart","chromium","2026-03-24","passed","2026-03-24","Edge Cases and Validations","saucedemo.e2e.spec.js","",""
"","5319","Logout redirects to login","webkit","2026-03-23","passed","2026-03-23","Edge Cases and Validations","saucedemo.e2e.spec.js","",""
"","7632","Checkout with valid info","webkit","2026-03-23","passed","2026-03-23","Checkout Scenarios","saucedemo.e2e.spec.js","",""
"","13547","Performance glitch user login","firefox","2026-03-23","passed","2026-03-23","Login Scenarios","saucedemo.e2e.spec.js","",""
"","2025","Product price matches on checkout page","chromium","2026-03-24","passed","2026-03-24","Product and Cart Scenarios","saucedemo.e2e.spec.js","",""
